# basename,datetime,site,mode,raw_size,gz_size,7z_size
COVIS-20190131T103002-diffuseright,2019-01-31 10:30:02,Ashes,diffuseright,961745029,395346888,268193176
COVIS-20190131T105342-diffuseleft,2019-01-31 10:53:42,Ashes,diffuseleft,961744571,295015329,173908352
COVIS-20190131T120002-diffuseright,2019-01-31 12:00:02,Ashes,diffuseright,961744959,399780305,271198086
COVIS-20190131T122351-diffuseleft,2019-01-31 12:23:51,Ashes,diffuseleft,961744601,287036788,168583836
COVIS-20190131T133002-diffuseright,2019-01-31 13:30:02,Ashes,diffuseright,961745032,391148235,267727674
COVIS-20190131T135347-diffuseleft,2019-01-31 13:53:47,Ashes,diffuseleft,961744554,282763913,169059708
COVIS-20190131T150002-diffuseright,2019-01-31 15:00:02,Ashes,diffuseright,961745049,391346163,267300362
COVIS-20190131T152343-diffuseleft,2019-01-31 15:23:43,Ashes,diffuseleft,961744563,278063663,165465964
COVIS-20190131T163002-diffuseright,2019-01-31 16:30:02,Ashes,diffuseright,961745002,387069391,263977637
COVIS-20190131T165348-diffuseleft,2019-01-31 16:53:48,Ashes,diffuseleft,961744573,279932788,166645491
COVIS-20190131T180002-diffuseright,2019-01-31 18:00:02,Ashes,diffuseright,961744930,395211961,270163465
COVIS-20190131T182329-diffuseleft,2019-01-31 18:23:29,Ashes,diffuseleft,961744578,280714226,167564280
COVIS-20190131T193002-diffuseright,2019-01-31 19:30:02,Ashes,diffuseright,961745070,393826065,267197481
COVIS-20190131T195251-diffuseleft,2019-01-31 19:52:51,Ashes,diffuseleft,961744515,289178647,170467789
COVIS-20190131T210002-diffuseright,2019-01-31 21:00:02,Ashes,diffuseright,961745010,393972748,267345036
COVIS-20190131T212334-diffuseleft,2019-01-31 21:23:34,Ashes,diffuseleft,961744571,293337210,172415271
COVIS-20190131T223002-diffuseright,2019-01-31 22:30:02,Ashes,diffuseright,961745005,397154436,271093305
COVIS-20190131T225318-diffuseleft,2019-01-31 22:53:18,Ashes,diffuseleft,961744543,290956003,172825027
COVIS-20190201T000001-diffuseright,2019-02-01 00:00:01,Ashes,diffuseright,961744989,388334928,264145223
COVIS-20190201T002311-diffuseleft,2019-02-01 00:23:11,Ashes,diffuseleft,961744593,285499818,168428211
COVIS-20190201T013001-diffuseright,2019-02-01 01:30:01,Ashes,diffuseright,961744984,384665370,260374015
COVIS-20190201T015334-diffuseleft,2019-02-01 01:53:34,Ashes,diffuseleft,961744597,290248584,170864342
COVIS-20190201T030001-diffuseright,2019-02-01 03:00:01,Ashes,diffuseright,961745010,396082076,268934848
COVIS-20190201T032328-diffuseleft,2019-02-01 03:23:28,Ashes,diffuseleft,961744597,295873185,174949662
COVIS-20190201T043001-diffuseright,2019-02-01 04:30:01,Ashes,diffuseright,961744966,391515223,267225186
COVIS-20190201T045344-diffuseleft,2019-02-01 04:53:44,Ashes,diffuseleft,961744660,282081831,168057094
COVIS-20190201T060001-diffuseright,2019-02-01 06:00:01,Ashes,diffuseright,961744985,392910272,267690961
COVIS-20190201T062328-diffuseleft,2019-02-01 06:23:28,Ashes,diffuseleft,961744639,281185172,167550664
COVIS-20190201T073002-diffuseright,2019-02-01 07:30:02,Ashes,diffuseright,961745059,397889512,269340155
COVIS-20190201T075331-diffuseleft,2019-02-01 07:53:31,Ashes,diffuseleft,961744640,288162142,169752573
COVIS-20190201T090002-diffuseright,2019-02-01 09:00:02,Ashes,diffuseright,961745057,397098895,269695082
COVIS-20190201T092339-diffuseleft,2019-02-01 09:23:39,Ashes,diffuseleft,961744596,296742751,174399658
COVIS-20190201T103002-diffuseright,2019-02-01 10:30:02,Ashes,diffuseright,961745056,390383296,265478104
COVIS-20190201T105238-diffuseleft,2019-02-01 10:52:38,Ashes,diffuseleft,961744581,291713918,172004120
COVIS-20190201T120002-diffuseright,2019-02-01 12:00:02,Ashes,diffuseright,961745040,395360944,267393401
COVIS-20190201T122353-diffuseleft,2019-02-01 12:23:53,Ashes,diffuseleft,961744504,285343507,168712352
COVIS-20190201T133002-diffuseright,2019-02-01 13:30:02,Ashes,diffuseright,961744945,390583762,264426258
COVIS-20190201T135314-diffuseleft,2019-02-01 13:53:14,Ashes,diffuseleft,961744589,283999397,168505386
COVIS-20190201T150002-diffuseright,2019-02-01 15:00:02,Ashes,diffuseright,961745048,400671745,270558462
COVIS-20190201T152302-diffuseleft,2019-02-01 15:23:02,Ashes,diffuseleft,961744507,291450945,171198202
COVIS-20190201T163002-diffuseright,2019-02-01 16:30:02,Ashes,diffuseright,961745008,392378145,268004047
COVIS-20190201T165309-diffuseleft,2019-02-01 16:53:09,Ashes,diffuseleft,961744486,281127750,168159378
COVIS-20190201T180002-diffuseright,2019-02-01 18:00:02,Ashes,diffuseright,961745027,391905619,267819471
COVIS-20190201T182324-diffuseleft,2019-02-01 18:23:24,Ashes,diffuseleft,961744555,279828211,167347444
COVIS-20190201T193002-diffuseright,2019-02-01 19:30:02,Ashes,diffuseright,961744994,391958733,267671841
COVIS-20190201T195312-diffuseleft,2019-02-01 19:53:12,Ashes,diffuseleft,961744570,282971018,169335508
COVIS-20190201T210002-diffuseright,2019-02-01 21:00:02,Ashes,diffuseright,961744958,395617260,268482601
COVIS-20190201T212326-diffuseleft,2019-02-01 21:23:26,Ashes,diffuseleft,961744544,285496743,168938076
COVIS-20190201T223002-diffuseright,2019-02-01 22:30:02,Ashes,diffuseright,961745004,390470606,264842797
COVIS-20190201T225342-diffuseleft,2019-02-01 22:53:42,Ashes,diffuseleft,961744583,290182178,170906355
COVIS-20190202T000001-diffuseright,2019-02-02 00:00:01,Ashes,diffuseright,961745072,388232887,264357011
COVIS-20190202T002357-diffuseleft,2019-02-02 00:23:57,Ashes,diffuseleft,961744488,299921151,177437062
COVIS-20190202T013001-diffuseright,2019-02-02 01:30:01,Ashes,diffuseright,961744994,401895464,271247701
COVIS-20190202T015352-diffuseleft,2019-02-02 01:53:52,Ashes,diffuseleft,961744492,289161007,170534401
COVIS-20190202T030001-diffuseright,2019-02-02 03:00:01,Ashes,diffuseright,961744989,401745235,272104266
COVIS-20190202T032325-diffuseleft,2019-02-02 03:23:25,Ashes,diffuseleft,961744496,294625375,173504218
COVIS-20190202T043002-diffuseright,2019-02-02 04:30:02,Ashes,diffuseright,961745013,394360713,267904935
COVIS-20190202T045336-diffuseleft,2019-02-02 04:53:36,Ashes,diffuseleft,961744555,292938239,171867932
COVIS-20190202T060002-diffuseright,2019-02-02 06:00:02,Ashes,diffuseright,961744922,389204013,265140965
COVIS-20190202T062326-diffuseleft,2019-02-02 06:23:26,Ashes,diffuseleft,961744601,280845493,167080044
COVIS-20190202T073002-diffuseright,2019-02-02 07:30:02,Ashes,diffuseright,961744996,394665055,267460394
COVIS-20190202T075326-diffuseleft,2019-02-02 07:53:26,Ashes,diffuseleft,961744559,294890055,175760019
COVIS-20190202T090002-diffuseright,2019-02-02 09:00:02,Ashes,diffuseright,961745068,384218765,260805823
COVIS-20190202T092244-diffuseleft,2019-02-02 09:22:44,Ashes,diffuseleft,961744515,284128109,167880238
COVIS-20190202T103002-diffuseright,2019-02-02 10:30:02,Ashes,diffuseright,961744965,392061215,267026047
COVIS-20190202T105344-diffuseleft,2019-02-02 10:53:44,Ashes,diffuseleft,961744592,296597858,175111353
COVIS-20190202T120002-diffuseright,2019-02-02 12:00:02,Ashes,diffuseright,961745069,406747440,274677074
COVIS-20190202T122318-diffuseleft,2019-02-02 12:23:18,Ashes,diffuseleft,961744612,299795791,177605588
COVIS-20190202T133001-diffuseright,2019-02-02 13:30:01,Ashes,diffuseright,961744987,397503077,268280724
COVIS-20190202T135319-diffuseleft,2019-02-02 13:53:19,Ashes,diffuseleft,961744504,297417184,173842628
COVIS-20190202T150001-diffuseright,2019-02-02 15:00:01,Ashes,diffuseright,961745011,405435717,273786362
COVIS-20190202T152306-diffuseleft,2019-02-02 15:23:06,Ashes,diffuseleft,961744520,283710626,168500430
COVIS-20190202T163002-diffuseright,2019-02-02 16:30:02,Ashes,diffuseright,961745046,388469777,264537918
COVIS-20190202T165337-diffuseleft,2019-02-02 16:53:37,Ashes,diffuseleft,961744477,279397514,166608272
COVIS-20190202T180002-diffuseright,2019-02-02 18:00:02,Ashes,diffuseright,961745046,396098441,268669162
COVIS-20190202T182314-diffuseleft,2019-02-02 18:23:14,Ashes,diffuseleft,961744610,286254539,169437098
COVIS-20190202T193002-diffuseright,2019-02-02 19:30:02,Ashes,diffuseright,961745041,393361596,267111603
COVIS-20190202T195257-diffuseleft,2019-02-02 19:52:57,Ashes,diffuseleft,961744645,280534244,167175251
COVIS-20190202T210002-diffuseright,2019-02-02 21:00:02,Ashes,diffuseright,961745036,390181526,264790230
COVIS-20190202T212323-diffuseleft,2019-02-02 21:23:23,Ashes,diffuseleft,961744534,284332200,168241558
