# basename,datetime,site,mode,raw_size,7z_size
COVIS-20180802T183156-diffuse2,2018-08-02 18:31:56,Ashes,diffuse2,8440248,3245781
COVIS-20180802T183347-diffuse3,2018-08-02 18:33:47,Ashes,diffuse3,8440250,3167536
COVIS-20180802T190002-diffuse1,2018-08-02 19:00:02,Ashes,diffuse1,8440255,3202399
COVIS-20180802T190156-diffuse2,2018-08-02 19:01:56,Ashes,diffuse2,8440259,3256893
COVIS-20180802T190347-diffuse3,2018-08-02 19:03:47,Ashes,diffuse3,8440250,3163774
COVIS-20180802T193002-diffuse1,2018-08-02 19:30:02,Ashes,diffuse1,8440267,3192516
COVIS-20180802T193155-diffuse2,2018-08-02 19:31:55,Ashes,diffuse2,8440254,3260622
COVIS-20180802T193346-diffuse3,2018-08-02 19:33:46,Ashes,diffuse3,8440258,3166482
COVIS-20180802T200002-diffuse1,2018-08-02 20:00:02,Ashes,diffuse1,8440268,3237188
COVIS-20180802T200155-diffuse2,2018-08-02 20:01:55,Ashes,diffuse2,8440255,3287795
COVIS-20180802T200347-diffuse3,2018-08-02 20:03:47,Ashes,diffuse3,8440260,3159789
COVIS-20180802T203001-diffuse1,2018-08-02 20:30:01,Ashes,diffuse1,8440267,3167157
COVIS-20180802T203155-diffuse2,2018-08-02 20:31:55,Ashes,diffuse2,8440258,3240198
COVIS-20180802T203346-diffuse3,2018-08-02 20:33:46,Ashes,diffuse3,8440253,3156392
COVIS-20180802T210001-diffuse1,2018-08-02 21:00:01,Ashes,diffuse1,8440262,3186196
COVIS-20180802T210155-diffuse2,2018-08-02 21:01:55,Ashes,diffuse2,8440259,3254401
COVIS-20180802T210346-diffuse3,2018-08-02 21:03:46,Ashes,diffuse3,8440268,3150222
